cb,ratio,flips,flipsPerSecond,lastRunEntropy,totalFlips,earlyRestarts,minEntropy,tries,entropy,variables,sat,clauses
2.3800,4.1000,25000,21640.5496,1.2072,4500000,0,0.6500,18,1.1084,500,0,2050
2.3800,4.1000,15246,21478.7657,0.9393,415246,0,0.4500,17,1.1590,500,1,2050
2.3800,4.1000,4926,115549.3727,0.8930,4926,0,0.4500,1,0.8930,500,1,2050
2.3800,4.1000,4780,22326.9097,0.8521,229780,0,0.5500,10,1.1848,500,1,2050
2.3800,4.1000,20277,22674.7513,0.9340,220277,0,0.6500,9,1.2024,500,1,2050
2.3800,4.1000,5232,110274.7677,0.8909,5232,0,0.5000,1,0.8909,500,1,2050
2.3800,4.1000,11579,21900.4293,0.9212,286579,0,0.4000,12,1.1923,500,1,2050
2.3800,4.1000,20581,31215.1427,0.9160,45581,0,0.6500,2,1.1034,500,1,2050
2.3800,4.1000,15928,21968.9513,0.9325,290928,0,0.5000,12,1.1411,500,1,2050
2.3800,4.1000,3308,160112.2471,0.8787,3308,0,0.6000,1,0.8787,500,1,2050
2.3800,4.1000,9612,34599.7613,0.9494,34612,0,0.6500,2,1.1241,500,1,2050
2.3800,4.1000,23997,24195.6748,0.9262,123997,0,0.4000,5,1.1338,500,1,2050
2.3800,4.1000,2784,180143.3336,0.8911,2784,0,0.6000,1,0.8911,500,1,2050
2.3800,4.1000,21879,30580.5395,0.9052,46879,0,0.6500,2,1.0824,500,1,2050
2.3800,4.1000,9171,74201.8590,0.9085,9171,0,0.5500,1,0.9085,500,1,2050
2.3800,4.1000,20397,22011.1091,0.9248,270397,0,0.4500,11,1.1984,500,1,2050
2.3800,4.1000,12654,25963.7316,0.9265,87654,0,0.4500,4,1.1011,500,1,2050
2.3800,4.1000,11292,22788.0803,0.9330,211292,0,0.4500,9,1.2093,500,1,2050
2.3800,4.1000,9568,72252.5932,0.9091,9568,0,0.5500,1,0.9091,500,1,2050
2.3800,4.1000,10532,34271.2452,0.9289,35532,0,0.6500,2,1.0852,500,1,2050
2.3800,4.1000,14879,21752.3136,0.9359,364879,0,0.4000,15,1.2362,500,1,2050
2.3800,4.1000,8716,76853.7645,0.9211,8716,0,0.5500,1,0.9211,500,1,2050
2.3800,4.1000,4725,120789.2910,0.9005,4725,0,0.5000,1,0.9005,500,1,2050
2.3800,4.1000,9718,71442.4085,0.9154,9718,0,0.4000,1,0.9154,500,1,2050
2.3800,4.1000,11873,62472.0560,0.9260,11873,0,0.5500,1,0.9260,500,1,2050
2.3800,4.1000,21630,44266.0438,0.9238,21630,0,0.4500,1,0.9238,500,1,2050
2.3800,4.1000,19319,22562.4307,0.9326,194319,0,0.4000,8,1.2333,500,1,2050
2.3800,4.1000,7607,84235.0379,0.8987,7607,0,0.5000,1,0.8987,500,1,2050
2.3800,4.1000,22107,43722.7558,0.9273,22107,0,0.4000,1,0.9273,500,1,2050
2.3800,4.1000,24895,21345.8948,0.9035,424895,0,0.5000,17,1.1859,500,1,2050
2.3800,4.1000,23165,22380.1419,0.8979,223165,0,0.4500,9,1.2165,500,1,2050
2.3800,4.1000,25000,21364.4265,1.3141,4500000,0,0.5500,18,1.1711,500,0,2050
2.3800,4.1000,20101,45848.3482,0.9294,20101,0,0.6500,1,0.9294,500,1,2050
2.3800,4.1000,11637,62081.8428,0.8894,11637,0,0.5000,1,0.8894,500,1,2050
