sat,clauses,flips,variables,earlyRestarts,tries,flipsPerSecond,entropy,lastRunEntropy,totalFlips,ratio,minEntropy,cb
0,2100,25000,500,0,20,24480.9658,0.9203,0.9667,5000000,4.2000,0.0000,1.7000
0,2100,25000,500,0,20,24694.8406,0.7499,0.8199,5000000,4.2000,0.0000,4.0000
1,2100,15621,500,0,1,60517.2953,0.7122,0.7122,15621,4.2000,0.0000,4.8000
0,2100,25000,500,0,20,24755.3275,0.7778,0.8079,5000000,4.2000,0.0000,4.0000
0,2100,25000,500,0,20,24977.7447,0.7154,0.6751,5000000,4.2000,0.0000,4.6000
0,2100,25000,500,0,20,24725.1099,0.8008,0.8050,5000000,4.2000,0.0000,3.5000
1,2100,5643,500,0,7,27062.9448,0.8205,0.8610,155643,4.2000,0.0000,3.1000
0,2100,25000,500,0,20,24810.9802,0.7888,0.8202,5000000,4.2000,0.0000,3.7000
1,2100,4543,500,0,8,26947.3556,0.7327,0.8060,179543,4.2000,0.0000,4.0000
0,2100,25000,500,0,20,24733.5837,0.7538,0.7630,5000000,4.2000,0.0000,3.8000
0,2100,25000,500,0,20,24297.6546,0.9338,0.9829,5000000,4.2000,0.0000,0.4000
1,2100,7926,500,0,15,24964.5154,0.9656,0.9633,357926,4.2000,0.0000,1.6000
1,2100,6071,500,0,3,33287.0223,0.7755,0.7566,56071,4.2000,0.0000,4.1000
1,2100,24256,500,0,8,26024.0696,0.9595,0.9549,199256,4.2000,0.0000,1.8000
0,2100,25000,500,0,20,24239.4449,0.9316,0.9816,5000000,4.2000,0.0000,0.6000
1,2100,12023,500,0,10,25808.0767,0.9002,0.9349,237023,4.2000,0.0000,2.8000
0,2100,25000,500,0,20,24512.0896,0.9292,0.9787,5000000,4.2000,0.0000,1.0000
0,2100,25000,500,0,20,24775.0633,0.7714,0.8296,5000000,4.2000,0.0000,3.8000
0,2100,25000,500,0,21,24970.9833,0.6533,0.6021,5250000,4.2000,0.0000,4.9000
0,2100,25000,500,0,20,24387.1280,0.9304,0.9800,5000000,4.2000,0.0000,0.8000
0,2100,25000,500,0,20,24633.0855,0.8189,0.9002,5000000,4.2000,0.0000,3.3000
1,2100,24528,500,0,4,29739.7942,0.7491,0.7431,99528,4.2000,0.0000,4.0000
0,2100,25000,500,0,20,24225.8244,0.9343,0.9839,5000000,4.2000,0.0000,0.4000
0,2100,25000,500,0,20,24293.2762,0.9351,0.9847,5000000,4.2000,0.0000,0.1000
0,2100,25000,500,0,20,24907.3465,0.7530,0.8095,5000000,4.2000,0.0000,4.2000
1,2100,21755,500,0,1,50076.6283,0.9708,0.9708,21755,4.2000,0.0000,1.5000
0,2100,25000,500,0,20,24390.3571,0.9313,0.9810,5000000,4.2000,0.0000,0.8000
0,2100,25000,500,0,20,24453.5295,0.9148,0.9625,5000000,4.2000,0.0000,1.8000
0,2100,25000,500,0,20,24300.3476,0.9332,0.9818,5000000,4.2000,0.0000,0.2000
0,2100,25000,500,0,20,24379.5712,0.9352,0.9849,5000000,4.2000,0.0000,0.4000
0,2100,25000,500,0,21,25025.8295,0.7188,0.7778,5250000,4.2000,0.0000,4.9000
0,2100,25000,500,0,21,25058.9232,0.7169,0.8120,5250000,4.2000,0.0000,4.9000
0,2100,25000,500,0,20,24401.6548,0.9320,0.9818,5000000,4.2000,0.0000,1.0000
1,2100,5994,500,0,1,112629.9340,0.9093,0.9093,5994,4.2000,0.0000,2.8000
1,2100,6563,500,0,12,25419.2066,0.9565,0.9347,281563,4.2000,0.0000,1.9000
0,2100,25000,500,0,20,24329.4695,0.9331,0.9822,5000000,4.2000,0.0000,0.7000
0,2100,25000,500,0,20,24074.7257,0.9346,0.9841,5000000,4.2000,0.0000,0.2000
0,2100,25000,500,0,20,24259.3126,0.9333,0.9828,5000000,4.2000,0.0000,0.4000
