sat,earlyRestarts,clauses,cb,flipsPerSecond,flips,ratio,tries,totalFlips,entropy,variables
0,0,4000,0.1000,22015.3176,50000,4.0000,27,13500000,9.1848,1000
0,0,4000,0.1000,21811.8640,50000,4.0000,27,13500000,9.1529,1000
0,0,4000,0.1000,21881.1868,50000,4.0000,27,13500000,9.1556,1000
0,0,4000,0.1000,21875.6915,50000,4.0000,27,13500000,9.1553,1000
0,0,4000,0.1000,21791.0273,50000,4.0000,27,13500000,9.1414,1000
0,0,4000,0.1000,21812.5272,50000,4.0000,27,13500000,9.1362,1000
0,0,4000,0.1000,21643.7740,50000,4.0000,27,13500000,9.1136,1000
0,0,4000,0.1000,21822.9735,50000,4.0000,27,13500000,9.1400,1000
0,0,4000,0.1000,21843.7647,50000,4.0000,27,13500000,9.1453,1000
0,0,4000,0.1000,21894.2651,50000,4.0000,27,13500000,9.1625,1000
0,0,4000,0.1000,21940.2116,50000,4.0000,27,13500000,9.1727,1000
0,0,4000,0.1000,21749.1571,50000,4.0000,27,13500000,9.1304,1000
0,0,4000,0.1000,21746.9687,50000,4.0000,27,13500000,9.1339,1000
0,0,4000,0.1000,22059.1869,50000,4.0000,27,13500000,9.1945,1000
0,0,4000,0.1000,21858.4840,50000,4.0000,27,13500000,9.1546,1000
0,0,4000,0.1000,21984.7058,50000,4.0000,27,13500000,9.1760,1000
0,0,4000,0.1000,21789.9650,50000,4.0000,27,13500000,9.1485,1000
0,0,4000,0.1000,21639.6523,50000,4.0000,26,13000000,9.1145,1000
0,0,4000,0.1000,21894.7995,50000,4.0000,27,13500000,9.1632,1000
0,0,4000,0.1000,21751.6615,50000,4.0000,27,13500000,9.1605,1000
0,0,4000,0.1000,21800.3992,50000,4.0000,27,13500000,9.1588,1000
0,0,4000,0.1000,21789.8372,50000,4.0000,27,13500000,9.1689,1000
0,0,4000,0.1000,21805.2915,50000,4.0000,27,13500000,9.1474,1000
0,0,4000,0.1000,21767.9814,50000,4.0000,27,13500000,9.1360,1000
0,0,4000,0.1000,21831.1407,50000,4.0000,27,13500000,9.1594,1000
0,0,4000,0.1000,21998.8202,50000,4.0000,27,13500000,9.1829,1000
0,0,4000,0.1000,21811.0076,50000,4.0000,27,13500000,9.1587,1000
0,0,4000,0.1000,21649.0958,50000,4.0000,27,13500000,9.1219,1000
0,0,4000,0.1000,21872.8132,50000,4.0000,27,13500000,9.1531,1000
0,0,4000,0.1000,21792.7250,50000,4.0000,27,13500000,9.1394,1000
0,0,4000,0.1000,21537.6789,50000,4.0000,26,13000000,9.1323,1000
0,0,4000,0.1000,21525.6718,50000,4.0000,26,13000000,9.1188,1000
0,0,4000,0.1000,21651.4273,50000,4.0000,27,13500000,9.1340,1000
0,0,4000,0.1000,21569.6335,50000,4.0000,26,13000000,9.1035,1000
0,0,4000,0.1000,21653.1132,50000,4.0000,26,13000000,9.1272,1000
0,0,4000,0.1000,21829.3557,50000,4.0000,27,13500000,9.1843,1000
0,0,4000,0.1000,21681.0216,50000,4.0000,27,13500000,9.1433,1000
0,0,4000,0.1000,21647.9378,50000,4.0000,27,13500000,9.1480,1000
0,0,4000,0.1000,21877.6134,50000,4.0000,27,13500000,9.1715,1000
0,0,4000,0.1000,21830.0829,50000,4.0000,27,13500000,9.1487,1000
0,0,4000,0.1000,21765.3037,50000,4.0000,27,13500000,9.1505,1000
0,0,4000,0.1000,21703.9177,50000,4.0000,27,13500000,9.1442,1000
0,0,4000,0.1000,21875.4237,50000,4.0000,27,13500000,9.1612,1000
0,0,4000,0.1000,21787.0960,50000,4.0000,27,13500000,9.1531,1000
